model,image,ms,peak_vram_mib,fg_fraction,soft_edge_fraction,holes
inspyrenet,pottery-earthen-sharp-04.jpg,886.0,2924,0.24,0.035,12
inspyrenet,textile-tassel-fringe-01.jpg,879.0,2924,0.275,0.0554,80
inspyrenet,textile-tassel-fringe-02.jpg,871.0,2924,0.445,0.0706,90
inspyrenet,textile-tassel-fringe-03.jpg,878.0,2924,0.372,0.0286,4
inspyrenet,textile-tassel-fringe-04.jpg,888.0,2924,0.418,0.02,6
inspyrenet,textile-shawl-fringe-03.jpg,892.0,2924,0.097,0.1148,28
inspyrenet,textile-dhurrie-patterned-01.jpg,858.0,2924,0.956,0.0266,6
inspyrenet,textile-blockprint-patterned-03.jpg,892.0,2924,0.667,0.0115,0
inspyrenet,textile-pallu-fringe-01.jpg,885.0,2924,0.467,0.0237,4
inspyrenet,textile-pallu-fringe-02.jpg,878.0,2924,0.312,0.018,17
inspyrenet,pottery-blackware-darkfloor-01.jpg,892.0,2924,0.152,0.0408,8
inspyrenet,pottery-earthen-sharp-02.jpg,868.0,2924,0.32,0.0392,8
inspyrenet,textile-blockprint-patterned-02.jpg,886.0,2924,0.267,0.1548,33
inspyrenet,pottery-potter-indoor-01.jpg,879.0,2924,0.076,0.0266,0
u2net,1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,351.0,9,0.189,0.0133,2
u2net,291e88c5-3d23-4344-af53-e3e865c22165.jpeg,295.0,9,0.015,0.0876,1
u2net,6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,285.0,9,0.172,0.0242,2
u2net,6ca04e8a-33ad-4378-9409-122d13513596.jpeg,297.0,9,0.329,0.0246,0
u2net,7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,296.0,9,0.694,0.0259,0
u2net,a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,382.0,9,0.297,0.0117,0
u2net,a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,284.0,9,0.207,0.0111,0
u2net,a96a34f2-9314-4202-9223-83686bc2a47d.jpeg,287.0,9,0.249,0.021,1
u2net,aaacb98e-57b1-458f-bfe2-f348bcde1ee2.jpeg,288.0,9,0.592,0.0496,2
u2net,b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,287.0,9,0.029,0.0496,0
u2net,eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,287.0,9,0.39,0.0184,0
u2net,brass-bidri-specular-01.jpg,348.0,9,0.595,0.0214,0
u2net,brass-bidri-specular-02.jpg,335.0,9,0.181,0.0094,0
u2net,brass-bidri-specular-04.jpg,339.0,9,0.376,0.0188,0
u2net,brass-diya-specular-01.jpg,355.0,9,0.375,0.0315,6
u2net,brass-diya-specular-02.jpg,330.0,9,0.098,0.0515,1
u2net,brass-lamp-specular-01.jpg,335.0,9,0.248,0.0443,1
u2net,brass-vessel-specular-01.jpg,337.0,9,0.285,0.0111,0
u2net,brass-vessel-specular-03.jpg,340.0,9,0.221,0.0112,0
u2net,pottery-blackware-darkfloor-03.jpg,321.0,9,0.267,0.0168,1
u2net,pottery-blackware-darkfloor-04.jpg,322.0,9,0.366,0.0208,1
u2net,pottery-darkclay-darkfloor-01.jpg,338.0,9,0.45,0.0153,0
u2net,pottery-darkclay-darkfloor-02.jpg,315.0,9,0.401,0.0142,0
u2net,pottery-darkclay-darkfloor-04.jpg,340.0,9,0.339,0.0193,1
u2net,pottery-terracotta-darkfloor-01.jpg,295.0,9,0.114,0.0104,0
u2net,pottery-terracotta-darkfloor-04.jpg,322.0,9,0.32,0.0114,0
u2net,pottery-earthen-sharp-03.jpg,330.0,9,0.457,0.0155,0
u2net,pottery-earthen-sharp-04.jpg,336.0,9,0.278,0.0119,0
u2net,textile-tassel-fringe-01.jpg,334.0,9,0.295,0.038,5
u2net,textile-tassel-fringe-02.jpg,321.0,9,0.447,0.0433,15
u2net,textile-tassel-fringe-03.jpg,330.0,9,0.361,0.0358,2
u2net,textile-tassel-fringe-04.jpg,346.0,9,0.42,0.025,1
u2net,textile-shawl-fringe-03.jpg,342.0,9,0.015,0.0731,5
u2net,textile-dhurrie-patterned-01.jpg,315.0,9,0.666,0.2247,21
u2net,textile-blockprint-patterned-03.jpg,341.0,9,0.655,0.0245,0
u2net,textile-pallu-fringe-01.jpg,330.0,9,0.443,0.0392,4
u2net,textile-pallu-fringe-02.jpg,327.0,9,0.311,0.0175,1
u2net,pottery-blackware-darkfloor-01.jpg,336.0,9,0.077,0.0433,0
u2net,pottery-earthen-sharp-02.jpg,316.0,9,0.324,0.0365,2
u2net,textile-blockprint-patterned-02.jpg,343.0,9,0.025,0.0339,1
u2net,pottery-potter-indoor-01.jpg,328.0,9,0.116,0.0151,0
isnet,1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,913.8,0,0.1876,0.01506,2
isnet,291e88c5-3d23-4344-af53-e3e865c22165.jpeg,885.5,0,0.0083,0.00692,0
isnet,6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,908.8,0,0.1746,0.02369,0
isnet,6ca04e8a-33ad-4378-9409-122d13513596.jpeg,878.8,0,0.3319,0.02691,0
isnet,7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,910.1,0,0.6813,0.25488,2
isnet,a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,950.5,0,0.2965,0.00502,0
isnet,a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,894.2,0,0.209,0.01404,0
isnet,a96a34f2-9314-4202-9223-83686bc2a47d.jpeg,896.0,0,0.2483,0.12403,1
isnet,aaacb98e-57b1-458f-bfe2-f348bcde1ee2.jpeg,900.8,0,0.0047,0.41514,3
isnet,b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,908.0,0,0.0104,0.06387,6
isnet,eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,907.5,0,0.3911,0.02046,0
isnet,brass-bidri-specular-01.jpg,955.2,0,0.5977,0.01807,0
isnet,brass-bidri-specular-02.jpg,945.4,0,0.1816,0.00701,0
isnet,brass-bidri-specular-04.jpg,943.5,0,0.3719,0.01082,0
isnet,brass-diya-specular-01.jpg,987.4,0,0.3738,0.01224,7
isnet,brass-diya-specular-02.jpg,916.1,0,0.087,0.05102,2
isnet,brass-lamp-specular-01.jpg,966.0,0,0.2481,0.01425,2
isnet,brass-vessel-specular-01.jpg,968.8,0,0.2855,0.00705,0
isnet,brass-vessel-specular-03.jpg,988.8,0,0.2223,0.00689,0
isnet,pottery-blackware-darkfloor-03.jpg,942.1,0,0.2665,0.01489,1
isnet,pottery-blackware-darkfloor-04.jpg,949.4,0,0.3675,0.05618,1
isnet,pottery-darkclay-darkfloor-01.jpg,955.1,0,0.4475,0.00785,0
isnet,pottery-darkclay-darkfloor-02.jpg,888.5,0,0.3997,0.0079,0
isnet,pottery-darkclay-darkfloor-04.jpg,973.0,0,0.3403,0.01079,1
isnet,pottery-terracotta-darkfloor-01.jpg,1008.5,0,0.1152,0.01334,0
isnet,pottery-terracotta-darkfloor-04.jpg,1028.6,0,0.3207,0.00682,0
isnet,pottery-earthen-sharp-03.jpg,1046.7,0,0.7022,0.01212,0
isnet,pottery-earthen-sharp-04.jpg,1016.1,0,0.2552,0.01803,3
isnet,textile-tassel-fringe-01.jpg,1046.6,0,0.2804,0.04167,95
isnet,textile-tassel-fringe-02.jpg,966.2,0,0.4486,0.04681,65
isnet,textile-tassel-fringe-03.jpg,955.7,0,0.372,0.02727,5
isnet,textile-tassel-fringe-04.jpg,960.6,0,0.4196,0.01682,7
isnet,textile-shawl-fringe-03.jpg,937.3,0,0.0237,0.12874,7
isnet,textile-dhurrie-patterned-01.jpg,937.8,0,0.1558,0.37002,135
isnet,textile-blockprint-patterned-03.jpg,957.5,0,0.5528,0.51141,1439
isnet,textile-pallu-fringe-01.jpg,889.4,0,0.4399,0.30244,57
isnet,textile-pallu-fringe-02.jpg,922.7,0,0.3105,0.01726,7
isnet,pottery-blackware-darkfloor-01.jpg,957.0,0,0.1,0.18002,8
isnet,pottery-earthen-sharp-02.jpg,923.4,0,0.3227,0.0452,5
isnet,textile-blockprint-patterned-02.jpg,946.1,0,0.1218,0.26632,105
isnet,pottery-potter-indoor-01.jpg,942.6,0,0.1114,0.0364,0
