image,model,fg_fraction,soft_edge_fraction,components,holes,consensus_iou
pottery-earthen-sharp-03.jpg,birefnet,0.7022,0.00661,1,0,0.9995
pottery-earthen-sharp-03.jpg,birefnet-lite,0.7022,0.00713,1,0,0.9995
pottery-earthen-sharp-03.jpg,inspyrenet,0.7028,0.00826,1,0,0.9988
pottery-earthen-sharp-03.jpg,isnet,0.7022,0.01212,1,0,0.9994
pottery-earthen-sharp-03.jpg,u2net,0.457,0.01547,1,0,0.6506
pottery-earthen-sharp-04.jpg,birefnet,0.2347,0.00835,1,5,0.9771
pottery-earthen-sharp-04.jpg,birefnet-lite,0.2352,0.00851,1,5,0.9769
pottery-earthen-sharp-04.jpg,inspyrenet,0.24,0.03503,4,12,0.9768
pottery-earthen-sharp-04.jpg,isnet,0.2552,0.01803,2,3,0.9194
pottery-earthen-sharp-04.jpg,u2net,0.2779,0.01194,1,0,0.8454
textile-tassel-fringe-01.jpg,birefnet,0.2717,0.02768,3,54,0.98
textile-tassel-fringe-01.jpg,birefnet-lite,0.2733,0.02837,2,69,0.9812
textile-tassel-fringe-01.jpg,inspyrenet,0.275,0.05541,1,80,0.9801
textile-tassel-fringe-01.jpg,isnet,0.2804,0.04167,12,95,0.9659
textile-tassel-fringe-01.jpg,u2net,0.2948,0.03798,3,5,0.9154
textile-tassel-fringe-02.jpg,birefnet,0.4433,0.03691,16,59,0.9887
textile-tassel-fringe-02.jpg,birefnet-lite,0.4428,0.04049,15,111,0.989
textile-tassel-fringe-02.jpg,inspyrenet,0.4453,0.07057,5,90,0.9879
textile-tassel-fringe-02.jpg,isnet,0.4486,0.04681,10,65,0.9833
textile-tassel-fringe-02.jpg,u2net,0.4469,0.04334,4,15,0.9687
textile-tassel-fringe-03.jpg,birefnet,0.3701,0.02112,7,4,0.9939
textile-tassel-fringe-03.jpg,birefnet-lite,0.3717,0.01806,3,5,0.993
textile-tassel-fringe-03.jpg,inspyrenet,0.3721,0.02857,1,4,0.993
